| function_name        | test_name              | total  | passed | failed | ignored | linesCvrg | branchesCvrg | Date and time  |
|----------------------|------------------------|--------|--------|--------|---------|-----------|--------------|----------------|
| IsOverExit_b         | IsOverExit_b_1         | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| TempMon_IsUnderAlv_b | TempMon_IsUnderAlv_b_1 | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| TempMon_Init         | TempMon_Init_1         | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| TempMon_GetSts       | TempMon_GetSts_1       | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| TempMon_IsOverAlv_b  | TempMon_IsOverAlv_b_1  | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| IsUnderExit_b        | IsUnderExit_b_1        | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| IsOverEnter_b        | IsOverEnter_b_1        | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| IsUnderEnter_b       | IsUnderEnter_b_1       | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
| TempMon_Run          | TempMon_Run_1          | PASSED | PASSED | -      | -       | 0.0%      | -%           | 04/03/26 15:37 |
